Datetime,Open,High,Low,Close,Volume
2025-09-11 01:00:00-04:00,1.16967,1.16974,1.1696,1.16967,168
2025-09-11 01:05:00-04:00,1.16967,1.16982,1.16961,1.1697899999999999,130
2025-09-11 01:10:00-04:00,1.1697899999999999,1.16981,1.16967,1.16978,157
2025-09-11 01:15:00-04:00,1.16978,1.16978,1.16959,1.16959,99
2025-09-11 01:20:00-04:00,1.16959,1.1696,1.16929,1.1694,159
2025-09-11 01:25:00-04:00,1.1694,1.16951,1.16933,1.16949,135
2025-09-11 01:30:00-04:00,1.1695,1.16953,1.16942,1.16951,134
2025-09-11 01:35:00-04:00,1.16951,1.16981,1.1695,1.1697899999999999,107
2025-09-11 01:40:00-04:00,1.1698,1.1698,1.16959,1.16963,147
2025-09-11 01:45:00-04:00,1.16963,1.16984,1.16963,1.16975,124
2025-09-11 01:50:00-04:00,1.16975,1.16976,1.16961,1.16968,102
2025-09-11 01:55:00-04:00,1.16968,1.16974,1.16946,1.16958,164
2025-09-11 02:00:00-04:00,1.16957,1.16994,1.16956,1.16994,113
2025-09-11 02:05:00-04:00,1.16995,1.16997,1.1697899999999999,1.16985,120
2025-09-11 02:10:00-04:00,1.16985,1.16992,1.16976,1.16978,116
2025-09-11 02:15:00-04:00,1.16978,1.16978,1.16956,1.16958,144
2025-09-11 02:20:00-04:00,1.16958,1.16976,1.16958,1.16974,88
2025-09-11 02:25:00-04:00,1.16974,1.1699,1.16972,1.16987,164
2025-09-11 02:30:00-04:00,1.16987,1.16991,1.16973,1.16983,126
2025-09-11 02:35:00-04:00,1.16982,1.16993,1.16976,1.16976,116
2025-09-11 02:40:00-04:00,1.16976,1.16978,1.16957,1.16964,114
2025-09-11 02:45:00-04:00,1.16964,1.16965,1.16944,1.1695,130
2025-09-11 02:50:00-04:00,1.1695,1.16956,1.1694,1.1694,95
2025-09-11 02:55:00-04:00,1.16941,1.16961,1.16941,1.16954,125
2025-09-11 03:00:00-04:00,1.16954,1.16964,1.16951,1.16961,107
2025-09-11 03:05:00-04:00,1.16961,1.16961,1.16946,1.16957,79
2025-09-11 03:10:00-04:00,1.16956,1.16962,1.16948,1.16958,79
2025-09-11 03:15:00-04:00,1.16958,1.16958,1.1694499999999999,1.1695,134
2025-09-11 03:20:00-04:00,1.1695,1.16965,1.1694499999999999,1.1695,142
2025-09-11 03:25:00-04:00,1.1695,1.1696,1.16932,1.1696,124
2025-09-11 03:30:00-04:00,1.16957,1.16971,1.16955,1.16966,113
2025-09-11 03:35:00-04:00,1.16964,1.16967,1.16951,1.16965,76
2025-09-11 03:40:00-04:00,1.16965,1.16971,1.16959,1.1696900000000001,73
2025-09-11 03:45:00-04:00,1.1696900000000001,1.1696900000000001,1.16949,1.16951,74
2025-09-11 03:50:00-04:00,1.16951,1.16962,1.16949,1.16961,70
2025-09-11 03:55:00-04:00,1.16964,1.16989,1.1696,1.16989,100
2025-09-11 04:00:00-04:00,1.16989,1.1699,1.16957,1.1697,163
2025-09-11 04:05:00-04:00,1.1697,1.16972,1.16947,1.1696,137
2025-09-11 04:10:00-04:00,1.1696,1.16962,1.16933,1.1694,225
2025-09-11 04:15:00-04:00,1.1694,1.16949,1.16932,1.1693500000000001,116
2025-09-11 04:20:00-04:00,1.1693500000000001,1.16954,1.16932,1.16954,88
2025-09-11 04:25:00-04:00,1.16954,1.16954,1.16939,1.1694499999999999,97
2025-09-11 04:30:00-04:00,1.1694499999999999,1.16964,1.16931,1.16957,164
2025-09-11 04:35:00-04:00,1.16958,1.16974,1.16954,1.16962,143
2025-09-11 04:40:00-04:00,1.16962,1.16973,1.16951,1.16953,130
2025-09-11 04:45:00-04:00,1.16953,1.16956,1.1693500000000001,1.16943,174
2025-09-11 04:50:00-04:00,1.16943,1.1694499999999999,1.16916,1.1691799999999999,174
2025-09-11 04:55:00-04:00,1.1691799999999999,1.1691799999999999,1.16885,1.16893,311
2025-09-11 05:00:00-04:00,1.16893,1.169,1.1686,1.16883,387
2025-09-11 05:05:00-04:00,1.16883,1.1694499999999999,1.16871,1.16943,294
2025-09-11 05:10:00-04:00,1.16944,1.16962,1.1686,1.16861,428
2025-09-11 05:15:00-04:00,1.16861,1.16879,1.16831,1.16872,327
2025-09-11 05:20:00-04:00,1.16872,1.16926,1.16871,1.16925,279
2025-09-11 05:25:00-04:00,1.16925,1.16941,1.1691,1.16933,286
2025-09-11 05:30:00-04:00,1.1693,1.16939,1.16913,1.16919,290
2025-09-11 05:35:00-04:00,1.16919,1.16928,1.1689,1.16916,279
2025-09-11 05:40:00-04:00,1.16916,1.16938,1.1689,1.16903,240
2025-09-11 05:45:00-04:00,1.16903,1.16925,1.16893,1.16901,278
2025-09-11 05:50:00-04:00,1.16901,1.16942,1.16899,1.16916,286
2025-09-11 05:55:00-04:00,1.16916,1.16916,1.1685699999999999,1.16901,378
2025-09-11 06:00:00-04:00,1.16901,1.16941,1.16881,1.16889,449
2025-09-11 06:05:00-04:00,1.16888,1.1694,1.16866,1.16919,552
2025-09-11 06:10:00-04:00,1.16919,1.16956,1.16889,1.16927,421
2025-09-11 06:15:00-04:00,1.16927,1.16946,1.1687400000000001,1.16894,403
2025-09-11 06:20:00-04:00,1.16895,1.16915,1.16882,1.16912,299
