Datetime,Open,High,Low,Close,Volume
2025-09-16 01:00:00-04:00,1.17669,1.17692,1.17667,1.17688,180
2025-09-16 01:05:00-04:00,1.17688,1.17721,1.17681,1.17697,245
2025-09-16 01:10:00-04:00,1.17698,1.17717,1.17693,1.17712,218
2025-09-16 01:15:00-04:00,1.17712,1.17747,1.17705,1.17741,263
2025-09-16 01:20:00-04:00,1.17741,1.17767,1.1773,1.17731,245
2025-09-16 01:25:00-04:00,1.17733,1.17744,1.17717,1.17727,181
2025-09-16 01:30:00-04:00,1.17727,1.17734,1.17717,1.17719,165
2025-09-16 01:35:00-04:00,1.17719,1.17728,1.17709,1.17715,153
2025-09-16 01:40:00-04:00,1.17715,1.17723,1.17698,1.17723,171
2025-09-16 01:45:00-04:00,1.17723,1.1776200000000001,1.17719,1.17758,190
2025-09-16 01:50:00-04:00,1.17758,1.1777,1.17752,1.17759,198
2025-09-16 01:55:00-04:00,1.17759,1.17768,1.17755,1.17758,139
2025-09-16 02:00:00-04:00,1.17758,1.17779,1.17738,1.1776,227
2025-09-16 02:05:00-04:00,1.1776,1.17763,1.17736,1.17737,107
2025-09-16 02:10:00-04:00,1.17737,1.17753,1.1773500000000001,1.17748,113
2025-09-16 02:15:00-04:00,1.17748,1.17765,1.17743,1.17765,159
2025-09-16 02:20:00-04:00,1.17765,1.1778,1.17757,1.17763,178
2025-09-16 02:25:00-04:00,1.17763,1.1777,1.17757,1.17765,146
2025-09-16 02:30:00-04:00,1.17765,1.17838,1.17763,1.17826,297
2025-09-16 02:35:00-04:00,1.17826,1.17864,1.17817,1.1786,189
2025-09-16 02:40:00-04:00,1.1786,1.17862,1.17839,1.17854,166
2025-09-16 02:45:00-04:00,1.17854,1.17854,1.1782,1.17822,145
2025-09-16 02:50:00-04:00,1.17822,1.17822,1.17786,1.1779600000000001,191
2025-09-16 02:55:00-04:00,1.1779600000000001,1.1781,1.17766,1.1779600000000001,201
2025-09-16 03:00:00-04:00,1.1779600000000001,1.17798,1.17744,1.17766,220
2025-09-16 03:05:00-04:00,1.17767,1.17785,1.1776200000000001,1.1777,176
2025-09-16 03:10:00-04:00,1.1777,1.17778,1.17767,1.1777199999999999,145
2025-09-16 03:15:00-04:00,1.1777199999999999,1.17778,1.17759,1.17765,174
2025-09-16 03:20:00-04:00,1.17765,1.17782,1.17758,1.17776,141
2025-09-16 03:25:00-04:00,1.17776,1.17777,1.17757,1.17759,146
2025-09-16 03:30:00-04:00,1.1776,1.17778,1.1775,1.17769,149
2025-09-16 03:35:00-04:00,1.17769,1.17773,1.17734,1.17737,155
2025-09-16 03:40:00-04:00,1.17738,1.17754,1.17734,1.17746,171
2025-09-16 03:45:00-04:00,1.17746,1.17754,1.17739,1.17744,162
2025-09-16 03:50:00-04:00,1.17744,1.17758,1.1774,1.17754,181
2025-09-16 03:55:00-04:00,1.17754,1.17766,1.17749,1.17763,147
2025-09-16 04:00:00-04:00,1.17763,1.1777,1.17751,1.17761,237
2025-09-16 04:05:00-04:00,1.17761,1.1779,1.17757,1.17789,176
2025-09-16 04:10:00-04:00,1.17789,1.17795,1.1778,1.17787,172
2025-09-16 04:15:00-04:00,1.17787,1.17795,1.1778,1.1779,201
2025-09-16 04:20:00-04:00,1.1779,1.17791,1.17769,1.1777199999999999,169
2025-09-16 04:25:00-04:00,1.1777199999999999,1.1778,1.17767,1.17778,145
2025-09-16 04:30:00-04:00,1.17778,1.17789,1.17771,1.17777,235
2025-09-16 04:35:00-04:00,1.17777,1.17779,1.17766,1.17768,173
2025-09-16 04:40:00-04:00,1.17768,1.17768,1.17751,1.17759,176
2025-09-16 04:45:00-04:00,1.17759,1.1776200000000001,1.17734,1.17736,268
2025-09-16 04:50:00-04:00,1.17736,1.1777199999999999,1.17729,1.17769,213
2025-09-16 04:55:00-04:00,1.17768,1.17795,1.17767,1.17774,244
2025-09-16 05:00:00-04:00,1.17775,1.17828,1.17771,1.17804,322
2025-09-16 05:05:00-04:00,1.17804,1.17844,1.17773,1.17782,282
2025-09-16 05:10:00-04:00,1.17782,1.17834,1.17779,1.17821,335
2025-09-16 05:15:00-04:00,1.17821,1.17875,1.17821,1.17856,267
2025-09-16 05:20:00-04:00,1.17856,1.17905,1.17851,1.1786699999999999,329
2025-09-16 05:25:00-04:00,1.1786699999999999,1.17878,1.17829,1.17849,299
2025-09-16 05:30:00-04:00,1.17849,1.17859,1.17837,1.17858,257
2025-09-16 05:35:00-04:00,1.17858,1.17899,1.17834,1.17834,319
2025-09-16 05:40:00-04:00,1.17834,1.1785700000000001,1.17823,1.17856,250
2025-09-16 05:45:00-04:00,1.17856,1.17865,1.17843,1.17848,249
2025-09-16 05:50:00-04:00,1.17848,1.1785,1.17807,1.1783,272
2025-09-16 05:55:00-04:00,1.17831,1.1787,1.17816,1.17868,351
2025-09-16 06:00:00-04:00,1.17868,1.1792,1.17855,1.17913,393
2025-09-16 06:05:00-04:00,1.17913,1.1792,1.17883,1.17902,316
2025-09-16 06:10:00-04:00,1.17902,1.17954,1.17892,1.17943,373
2025-09-16 06:15:00-04:00,1.17943,1.17964,1.17929,1.1796,327
2025-09-16 06:20:00-04:00,1.1796,1.17978,1.17943,1.17956,315
2025-09-16 06:25:00-04:00,1.17956,1.17985,1.1795499999999999,1.17974,287
